TIME,1. sick,2. healthy,
0.0,0.0,300.0,
1.0,0.0,294.0,
2.0,0.0,294.0,
3.0,0.0,295.0,
4.0,0.0,296.0,
5.0,0.0,295.0,
6.0,0.0,295.0,
7.0,67.0,228.0,
8.0,67.0,228.0,
9.0,67.0,228.0,
10.0,67.0,228.0,
11.0,67.0,228.0,
12.0,67.0,228.0,
13.0,88.0,207.0,
14.0,108.0,187.0,
15.0,126.0,178.0,
16.0,141.0,159.0,
17.0,155.0,138.0,
18.0,157.0,146.0,
19.0,166.0,129.0,
20.0,171.0,111.0,
21.0,180.0,104.0,
22.0,180.0,111.0,
23.0,185.0,115.0,
24.0,193.0,104.0,
25.0,202.0,90.0,
26.0,213.0,91.0,
27.0,216.0,92.0,
28.0,214.0,102.0,
29.0,212.0,110.0,
30.0,217.0,113.0,
31.0,230.0,101.0,
32.0,232.0,104.0,
33.0,217.0,119.0,
34.0,211.0,101.0,
35.0,206.0,99.0,
36.0,203.0,109.0,
37.0,208.0,103.0,
38.0,204.0,107.0,
39.0,198.0,102.0,
40.0,198.0,109.0,
41.0,197.0,104.0,
42.0,207.0,92.0,
43.0,201.0,101.0,
44.0,198.0,98.0,
45.0,202.0,89.0,
46.0,187.0,97.0,
47.0,175.0,94.0,
48.0,176.0,84.0,
49.0,166.0,85.0,
50.0,168.0,85.0,
51.0,166.0,91.0,
52.0,170.0,90.0,
53.0,174.0,90.0,
54.0,175.0,90.0,
55.0,173.0,94.0,
56.0,173.0,88.0,
57.0,172.0,91.0,
58.0,170.0,92.0,
59.0,177.0,97.0,
60.0,173.0,98.0,
61.0,173.0,99.0,
62.0,173.0,91.0,
63.0,183.0,89.0,
64.0,184.0,84.0,
65.0,180.0,87.0,
66.0,185.0,93.0,
67.0,187.0,98.0,
68.0,194.0,93.0,
69.0,201.0,82.0,
70.0,208.0,81.0,
71.0,200.0,82.0,
72.0,202.0,80.0,
73.0,194.0,79.0,
74.0,192.0,94.0,
75.0,193.0,94.0,
76.0,195.0,100.0,
77.0,199.0,87.0,
78.0,190.0,92.0,
79.0,192.0,90.0,
80.0,196.0,83.0,
81.0,190.0,87.0,
82.0,177.0,91.0,
83.0,178.0,96.0,
84.0,166.0,99.0,
85.0,169.0,99.0,
86.0,171.0,100.0,
87.0,179.0,96.0,
88.0,170.0,107.0,
89.0,176.0,99.0,
90.0,175.0,101.0,
91.0,184.0,97.0,
92.0,191.0,97.0,
93.0,184.0,90.0,
94.0,178.0,100.0,
95.0,183.0,99.0,
96.0,187.0,98.0,
97.0,186.0,88.0,
98.0,186.0,90.0,
99.0,185.0,94.0,
100.0,180.0,102.0,
101.0,173.0,108.0,
102.0,173.0,113.0,
103.0,181.0,100.0,
104.0,186.0,90.0,
105.0,191.0,85.0,
106.0,190.0,81.0,
107.0,178.0,97.0,
108.0,174.0,105.0,
109.0,171.0,119.0,
110.0,178.0,118.0,
111.0,185.0,107.0,
112.0,191.0,92.0,
113.0,197.0,86.0,
114.0,190.0,91.0,
115.0,187.0,94.0,
116.0,178.0,101.0,
117.0,177.0,98.0,
118.0,177.0,107.0,
119.0,177.0,109.0,
120.0,174.0,108.0,
121.0,189.0,112.0,
122.0,196.0,98.0,
123.0,182.0,98.0,
124.0,188.0,98.0,
125.0,181.0,96.0,
126.0,184.0,95.0,
127.0,190.0,94.0,
128.0,173.0,101.0,
129.0,175.0,95.0,
130.0,171.0,98.0,
131.0,176.0,100.0,
132.0,171.0,99.0,
133.0,172.0,107.0,
134.0,167.0,102.0,
135.0,167.0,92.0,
136.0,161.0,88.0,
137.0,168.0,86.0,
138.0,165.0,85.0,
139.0,163.0,89.0,
140.0,165.0,103.0,
141.0,170.0,94.0,
142.0,165.0,106.0,
143.0,167.0,93.0,
144.0,161.0,91.0,
145.0,166.0,84.0,
146.0,165.0,82.0,
147.0,164.0,88.0,
148.0,174.0,83.0,
149.0,166.0,93.0,
150.0,168.0,94.0,
151.0,169.0,89.0,
152.0,161.0,101.0,
153.0,169.0,95.0,
154.0,169.0,94.0,
155.0,161.0,88.0,
156.0,159.0,86.0,
157.0,160.0,74.0,
158.0,156.0,71.0,
159.0,149.0,78.0,
160.0,143.0,80.0,
161.0,141.0,78.0,
162.0,142.0,70.0,
163.0,142.0,68.0,
164.0,135.0,71.0,
165.0,128.0,75.0,
166.0,133.0,69.0,
167.0,129.0,66.0,
168.0,123.0,71.0,
169.0,132.0,69.0,
170.0,136.0,64.0,
171.0,132.0,64.0,
172.0,128.0,66.0,
173.0,124.0,63.0,
174.0,124.0,66.0,
175.0,120.0,62.0,
176.0,119.0,63.0,
177.0,120.0,60.0,
178.0,121.0,56.0,
179.0,113.0,71.0,
180.0,117.0,81.0,
181.0,115.0,83.0,
182.0,115.0,91.0,
183.0,116.0,85.0,
184.0,107.0,83.0,
185.0,111.0,71.0,
186.0,110.0,65.0,
187.0,115.0,60.0,
188.0,108.0,59.0,
189.0,111.0,54.0,
190.0,109.0,55.0,
191.0,108.0,56.0,
192.0,110.0,62.0,
193.0,112.0,65.0,
194.0,113.0,64.0,
195.0,121.0,56.0,
196.0,118.0,56.0,
197.0,112.0,54.0,
198.0,113.0,51.0,
199.0,105.0,51.0,
200.0,106.0,49.0,
201.0,107.0,54.0,
202.0,106.0,52.0,
203.0,104.0,51.0,
204.0,108.0,50.0,
205.0,109.0,47.0,
206.0,104.0,49.0,
207.0,100.0,55.0,
208.0,97.0,57.0,
209.0,91.0,62.0,
210.0,102.0,59.0,
211.0,97.0,64.0,
212.0,101.0,63.0,
213.0,97.0,65.0,
214.0,98.0,66.0,
215.0,97.0,63.0,
216.0,99.0,63.0,
217.0,98.0,61.0,
218.0,103.0,72.0,
219.0,103.0,66.0,
220.0,104.0,66.0,
221.0,107.0,65.0,
222.0,98.0,74.0,
223.0,101.0,68.0,
224.0,95.0,83.0,
225.0,90.0,81.0,
226.0,85.0,80.0,
227.0,81.0,84.0,
228.0,88.0,74.0,
229.0,90.0,70.0,
230.0,94.0,67.0,
231.0,94.0,57.0,
232.0,95.0,58.0,
233.0,89.0,63.0,
234.0,94.0,57.0,
235.0,96.0,60.0,
236.0,101.0,60.0,
237.0,97.0,60.0,
238.0,97.0,54.0,
239.0,91.0,54.0,
240.0,87.0,56.0,
241.0,83.0,55.0,
242.0,82.0,54.0,
243.0,83.0,51.0,
244.0,81.0,52.0,
245.0,81.0,49.0,
246.0,83.0,49.0,
247.0,86.0,51.0,
248.0,83.0,57.0,
249.0,83.0,55.0,
250.0,82.0,60.0,
251.0,81.0,58.0,
252.0,80.0,59.0,
253.0,78.0,55.0,
254.0,75.0,57.0,
255.0,74.0,58.0,
