TIME,1. sick,2. healthy,
0.0,0.0,300.0,
1.0,0.0,296.0,
2.0,0.0,294.0,
3.0,0.0,293.0,
4.0,0.0,290.0,
5.0,0.0,290.0,
6.0,57.0,233.0,
7.0,57.0,233.0,
8.0,57.0,233.0,
9.0,57.0,233.0,
10.0,57.0,233.0,
11.0,57.0,233.0,
12.0,57.0,233.0,
13.0,57.0,233.0,
14.0,64.0,220.0,
15.0,78.0,205.0,
16.0,100.0,187.0,
17.0,103.0,184.0,
18.0,116.0,168.0,
19.0,128.0,163.0,
20.0,146.0,147.0,
21.0,164.0,132.0,
22.0,168.0,117.0,
23.0,172.0,112.0,
24.0,178.0,109.0,
25.0,182.0,94.0,
26.0,176.0,117.0,
27.0,185.0,117.0,
28.0,195.0,121.0,
29.0,209.0,100.0,
30.0,209.0,105.0,
31.0,211.0,108.0,
32.0,210.0,79.0,
33.0,204.0,93.0,
34.0,189.0,88.0,
35.0,196.0,99.0,
36.0,199.0,98.0,
37.0,193.0,101.0,
38.0,188.0,90.0,
39.0,190.0,81.0,
40.0,188.0,80.0,
41.0,185.0,84.0,
42.0,188.0,93.0,
43.0,195.0,88.0,
44.0,188.0,86.0,
45.0,186.0,85.0,
46.0,180.0,87.0,
47.0,180.0,82.0,
48.0,182.0,89.0,
49.0,180.0,83.0,
50.0,185.0,79.0,
51.0,180.0,78.0,
52.0,178.0,75.0,
53.0,175.0,80.0,
54.0,179.0,83.0,
55.0,189.0,75.0,
56.0,186.0,78.0,
57.0,176.0,74.0,
58.0,174.0,66.0,
59.0,176.0,71.0,
60.0,179.0,68.0,
61.0,179.0,76.0,
62.0,174.0,81.0,
63.0,163.0,82.0,
64.0,162.0,80.0,
65.0,166.0,79.0,
66.0,173.0,83.0,
67.0,171.0,79.0,
68.0,168.0,86.0,
69.0,178.0,87.0,
70.0,182.0,90.0,
71.0,184.0,93.0,
72.0,184.0,94.0,
73.0,186.0,92.0,
74.0,182.0,94.0,
75.0,184.0,96.0,
76.0,187.0,100.0,
