TIME,1. sick,2. healthy,
244.0,114.0,78.0,
245.0,117.0,79.0,
246.0,119.0,78.0,
247.0,118.0,77.0,
248.0,124.0,72.0,
249.0,123.0,82.0,
250.0,120.0,77.0,
251.0,115.0,80.0,
252.0,117.0,78.0,
253.0,116.0,84.0,
254.0,111.0,81.0,
255.0,110.0,79.0,
256.0,108.0,74.0,
257.0,110.0,70.0,
258.0,114.0,68.0,
259.0,116.0,74.0,
260.0,119.0,65.0,
261.0,111.0,66.0,
262.0,107.0,68.0,
263.0,105.0,74.0,
264.0,112.0,70.0,
265.0,107.0,67.0,
266.0,101.0,69.0,
267.0,102.0,66.0,
268.0,102.0,67.0,
269.0,104.0,71.0,
270.0,104.0,71.0,
271.0,113.0,75.0,
272.0,117.0,76.0,
273.0,116.0,70.0,
274.0,119.0,70.0,
275.0,117.0,79.0,
276.0,115.0,80.0,
277.0,114.0,76.0,
278.0,124.0,73.0,
279.0,124.0,69.0,
280.0,132.0,64.0,
281.0,129.0,63.0,
282.0,122.0,61.0,
283.0,125.0,56.0,
284.0,123.0,59.0,
285.0,119.0,58.0,
286.0,124.0,64.0,
287.0,128.0,63.0,
288.0,130.0,62.0,
289.0,134.0,60.0,
290.0,130.0,54.0,
291.0,131.0,54.0,
292.0,131.0,57.0,
293.0,126.0,63.0,
294.0,130.0,61.0,
295.0,129.0,59.0,
296.0,131.0,57.0,
297.0,122.0,63.0,
298.0,118.0,68.0,
299.0,117.0,70.0,
300.0,117.0,74.0,
301.0,117.0,80.0,
302.0,120.0,77.0,
303.0,116.0,74.0,
304.0,113.0,72.0,
305.0,111.0,70.0,
306.0,110.0,70.0,
307.0,109.0,72.0,
308.0,112.0,71.0,
309.0,113.0,65.0,
310.0,110.0,68.0,
311.0,113.0,68.0,
312.0,115.0,65.0,
313.0,115.0,63.0,
314.0,122.0,60.0,
315.0,116.0,59.0,
316.0,110.0,63.0,
317.0,109.0,70.0,
318.0,112.0,65.0,
319.0,109.0,66.0,
320.0,105.0,60.0,
321.0,106.0,60.0,
322.0,110.0,50.0,
323.0,111.0,54.0,
324.0,107.0,66.0,
325.0,106.0,63.0,
326.0,103.0,63.0,
327.0,105.0,58.0,
328.0,109.0,56.0,
329.0,109.0,51.0,
330.0,110.0,56.0,
331.0,109.0,55.0,
332.0,105.0,57.0,
333.0,107.0,55.0,
334.0,102.0,61.0,
335.0,102.0,60.0,
336.0,106.0,58.0,
337.0,105.0,54.0,
338.0,100.0,55.0,
339.0,102.0,56.0,
340.0,102.0,54.0,
341.0,99.0,57.0,
342.0,96.0,54.0,
343.0,96.0,54.0,
344.0,94.0,53.0,
345.0,92.0,49.0,
346.0,90.0,47.0,
347.0,92.0,48.0,
348.0,90.0,51.0,
349.0,84.0,53.0,
350.0,87.0,50.0,
351.0,87.0,53.0,
352.0,85.0,51.0,
353.0,87.0,48.0,
354.0,88.0,49.0,
355.0,91.0,44.0,
356.0,93.0,46.0,
357.0,94.0,46.0,
358.0,92.0,48.0,
359.0,93.0,42.0,
360.0,91.0,42.0,
361.0,90.0,46.0,
362.0,93.0,41.0,
363.0,93.0,43.0,
364.0,90.0,45.0,
365.0,87.0,48.0,
366.0,86.0,50.0,
367.0,88.0,54.0,
368.0,89.0,51.0,
369.0,84.0,55.0,
370.0,84.0,55.0,
371.0,87.0,60.0,
372.0,84.0,62.0,
373.0,82.0,61.0,
374.0,85.0,60.0,
375.0,88.0,60.0,
376.0,89.0,64.0,
377.0,88.0,59.0,
378.0,91.0,57.0,
379.0,93.0,58.0,
380.0,88.0,64.0,
381.0,85.0,67.0,
382.0,85.0,69.0,
383.0,86.0,70.0,
384.0,82.0,71.0,
385.0,84.0,67.0,
386.0,82.0,65.0,
387.0,81.0,70.0,
388.0,81.0,68.0,
389.0,83.0,64.0,
390.0,81.0,66.0,
391.0,84.0,60.0,
392.0,88.0,55.0,
393.0,87.0,54.0,
394.0,90.0,53.0,
395.0,94.0,53.0,
396.0,96.0,58.0,
397.0,99.0,60.0,
398.0,107.0,64.0,
399.0,107.0,69.0,
400.0,105.0,70.0,
401.0,102.0,64.0,
402.0,100.0,65.0,
403.0,107.0,61.0,
404.0,109.0,60.0,
405.0,113.0,60.0,
406.0,117.0,61.0,
407.0,113.0,64.0,
408.0,110.0,73.0,
409.0,112.0,74.0,
410.0,118.0,63.0,
411.0,119.0,68.0,
412.0,121.0,67.0,
413.0,122.0,67.0,
414.0,126.0,68.0,
415.0,127.0,66.0,
416.0,126.0,69.0,
417.0,127.0,69.0,
418.0,133.0,61.0,
419.0,129.0,65.0,
420.0,134.0,56.0,
421.0,132.0,58.0,
422.0,125.0,63.0,
423.0,130.0,55.0,
424.0,128.0,55.0,
425.0,127.0,57.0,
426.0,123.0,62.0,
427.0,124.0,60.0,
428.0,123.0,55.0,
429.0,118.0,57.0,
430.0,114.0,55.0,
431.0,112.0,49.0,
432.0,113.0,51.0,
433.0,110.0,52.0,
434.0,108.0,55.0,
435.0,110.0,57.0,
436.0,102.0,56.0,
437.0,102.0,49.0,
438.0,103.0,57.0,
439.0,101.0,57.0,
440.0,101.0,57.0,
441.0,96.0,59.0,
442.0,100.0,50.0,
443.0,99.0,51.0,
444.0,98.0,52.0,
445.0,97.0,50.0,
446.0,99.0,44.0,
447.0,97.0,48.0,
448.0,90.0,48.0,
449.0,89.0,47.0,
450.0,91.0,44.0,
451.0,95.0,42.0,
452.0,95.0,37.0,
453.0,95.0,40.0,
454.0,95.0,42.0,
455.0,95.0,49.0,
456.0,93.0,54.0,
457.0,97.0,60.0,
458.0,96.0,66.0,
459.0,98.0,66.0,
460.0,103.0,62.0,
461.0,102.0,64.0,
462.0,104.0,59.0,
463.0,103.0,64.0,
464.0,103.0,61.0,
465.0,105.0,55.0,
466.0,109.0,52.0,
467.0,105.0,52.0,
468.0,102.0,48.0,
469.0,94.0,51.0,
470.0,92.0,46.0,
471.0,94.0,43.0,
472.0,85.0,44.0,
473.0,87.0,44.0,
474.0,88.0,43.0,
475.0,88.0,46.0,
476.0,83.0,51.0,
477.0,80.0,52.0,
478.0,78.0,52.0,
479.0,75.0,50.0,
480.0,73.0,55.0,
481.0,77.0,52.0,
482.0,81.0,51.0,
483.0,85.0,46.0,
484.0,86.0,46.0,
485.0,87.0,44.0,
486.0,84.0,45.0,
487.0,84.0,50.0,
488.0,87.0,48.0,
489.0,84.0,51.0,
490.0,81.0,52.0,
491.0,82.0,52.0,
492.0,88.0,52.0,
493.0,83.0,51.0,
494.0,82.0,50.0,
495.0,84.0,44.0,
496.0,82.0,55.0,
497.0,86.0,53.0,
498.0,89.0,49.0,
499.0,89.0,49.0,
500.0,92.0,55.0,
501.0,90.0,50.0,
502.0,89.0,44.0,
503.0,86.0,47.0,
504.0,83.0,50.0,
505.0,85.0,53.0,
506.0,87.0,50.0,
507.0,86.0,49.0,
508.0,87.0,47.0,
509.0,84.0,47.0,
510.0,81.0,52.0,
511.0,77.0,53.0,
512.0,80.0,59.0,
513.0,77.0,61.0,
514.0,72.0,62.0,
515.0,73.0,66.0,
516.0,77.0,67.0,
517.0,81.0,66.0,
518.0,79.0,69.0,
519.0,79.0,66.0,
520.0,78.0,70.0,
521.0,80.0,68.0,
522.0,85.0,64.0,
523.0,84.0,59.0,
524.0,89.0,54.0,
525.0,88.0,63.0,
526.0,91.0,64.0,
527.0,94.0,66.0,
528.0,88.0,69.0,
529.0,89.0,62.0,
530.0,89.0,61.0,
531.0,92.0,59.0,
532.0,96.0,56.0,
533.0,99.0,59.0,
534.0,104.0,55.0,
535.0,101.0,56.0,
536.0,100.0,54.0,
537.0,103.0,51.0,
538.0,106.0,48.0,
539.0,105.0,48.0,
540.0,105.0,52.0,
541.0,101.0,55.0,
542.0,101.0,60.0,
543.0,100.0,59.0,
544.0,95.0,58.0,
545.0,97.0,54.0,
546.0,93.0,52.0,
547.0,91.0,55.0,
548.0,98.0,50.0,
549.0,93.0,53.0,
550.0,91.0,53.0,
551.0,86.0,59.0,
552.0,92.0,53.0,
553.0,85.0,59.0,
554.0,85.0,65.0,
555.0,87.0,66.0,
556.0,88.0,62.0,
557.0,87.0,64.0,
558.0,85.0,70.0,
559.0,80.0,81.0,
560.0,87.0,84.0,
561.0,89.0,76.0,
562.0,87.0,82.0,
563.0,91.0,78.0,
564.0,99.0,77.0,
565.0,98.0,77.0,
566.0,105.0,69.0,
567.0,103.0,67.0,
568.0,107.0,64.0,
569.0,110.0,64.0,
570.0,115.0,63.0,
571.0,124.0,51.0,
572.0,122.0,51.0,
573.0,119.0,54.0,
574.0,118.0,55.0,
575.0,120.0,58.0,
576.0,121.0,50.0,
577.0,117.0,50.0,
578.0,111.0,45.0,
579.0,111.0,51.0,
580.0,111.0,54.0,
581.0,116.0,48.0,
582.0,114.0,48.0,
583.0,114.0,51.0,
584.0,112.0,58.0,
585.0,111.0,59.0,
586.0,114.0,59.0,
587.0,115.0,58.0,
588.0,120.0,62.0,
589.0,120.0,60.0,
590.0,122.0,54.0,
591.0,124.0,60.0,
592.0,123.0,63.0,
593.0,123.0,63.0,
594.0,128.0,61.0,
595.0,121.0,64.0,
596.0,119.0,70.0,
597.0,109.0,87.0,
598.0,110.0,91.0,
599.0,110.0,85.0,
600.0,110.0,83.0,
601.0,111.0,79.0,
602.0,110.0,79.0,
603.0,115.0,76.0,
604.0,109.0,82.0,
605.0,105.0,78.0,
606.0,109.0,73.0,
607.0,117.0,63.0,
608.0,118.0,67.0,
609.0,114.0,66.0,
610.0,117.0,60.0,
611.0,113.0,59.0,
612.0,114.0,55.0,
613.0,112.0,58.0,
614.0,108.0,63.0,
615.0,112.0,62.0,
616.0,110.0,65.0,
617.0,110.0,66.0,
618.0,111.0,77.0,
619.0,113.0,72.0,
620.0,109.0,81.0,
621.0,105.0,78.0,
622.0,105.0,71.0,
623.0,109.0,64.0,
624.0,112.0,59.0,
625.0,111.0,61.0,
626.0,110.0,68.0,
627.0,104.0,76.0,
628.0,112.0,72.0,
629.0,114.0,70.0,
630.0,119.0,65.0,
631.0,112.0,71.0,
632.0,119.0,76.0,
633.0,127.0,67.0,
634.0,129.0,64.0,
635.0,121.0,65.0,
636.0,121.0,62.0,
637.0,119.0,68.0,
638.0,121.0,61.0,
639.0,118.0,56.0,
640.0,112.0,51.0,
641.0,116.0,46.0,
642.0,116.0,50.0,
643.0,116.0,46.0,
644.0,116.0,48.0,
645.0,112.0,42.0,
646.0,109.0,42.0,
647.0,108.0,43.0,
648.0,108.0,51.0,
649.0,108.0,48.0,
650.0,109.0,52.0,
651.0,103.0,57.0,
652.0,101.0,58.0,
653.0,103.0,56.0,
654.0,104.0,59.0,
655.0,103.0,67.0,
656.0,98.0,65.0,
657.0,99.0,65.0,
658.0,98.0,64.0,
659.0,96.0,66.0,
660.0,91.0,64.0,
661.0,91.0,67.0,
662.0,89.0,65.0,
663.0,87.0,62.0,
664.0,88.0,58.0,
665.0,84.0,55.0,
666.0,83.0,56.0,
667.0,81.0,60.0,
668.0,81.0,57.0,
669.0,82.0,56.0,
670.0,79.0,53.0,
671.0,78.0,57.0,
672.0,78.0,58.0,
673.0,84.0,46.0,
674.0,89.0,36.0,
675.0,87.0,37.0,
676.0,87.0,36.0,
677.0,82.0,33.0,
678.0,81.0,35.0,
679.0,78.0,40.0,
680.0,75.0,43.0,
681.0,76.0,41.0,
682.0,73.0,46.0,
683.0,72.0,44.0,
684.0,73.0,48.0,
685.0,73.0,47.0,
686.0,72.0,49.0,
687.0,71.0,49.0,
688.0,69.0,50.0,
689.0,70.0,48.0,
690.0,72.0,47.0,
691.0,70.0,52.0,
692.0,65.0,55.0,
693.0,66.0,54.0,
694.0,66.0,50.0,
695.0,66.0,48.0,
696.0,66.0,46.0,
697.0,66.0,44.0,
698.0,67.0,43.0,
699.0,70.0,40.0,
700.0,71.0,37.0,
701.0,64.0,40.0,
702.0,66.0,42.0,
703.0,65.0,47.0,
704.0,68.0,41.0,
705.0,69.0,39.0,
706.0,67.0,40.0,
707.0,66.0,41.0,
708.0,64.0,42.0,
709.0,64.0,44.0,
710.0,63.0,46.0,
