TIME,1. sick,2. healthy,
0.0,0.0,300.0,
1.0,0.0,296.0,
2.0,70.0,229.0,
3.0,68.0,231.0,
4.0,89.0,211.0,
5.0,92.0,198.0,
6.0,115.0,179.0,
7.0,125.0,162.0,
8.0,131.0,149.0,
9.0,148.0,136.0,
10.0,159.0,130.0,
11.0,168.0,107.0,
12.0,166.0,113.0,
13.0,165.0,104.0,
14.0,157.0,96.0,
15.0,158.0,93.0,
16.0,160.0,85.0,
17.0,165.0,78.0,
18.0,162.0,83.0,
19.0,158.0,89.0,
20.0,157.0,85.0,
21.0,162.0,87.0,
22.0,164.0,88.0,
23.0,165.0,84.0,
24.0,160.0,82.0,
25.0,156.0,79.0,
26.0,160.0,84.0,
27.0,160.0,84.0,
28.0,160.0,94.0,
29.0,161.0,98.0,
30.0,161.0,95.0,
31.0,166.0,93.0,
32.0,168.0,93.0,
33.0,162.0,92.0,
34.0,170.0,89.0,
35.0,172.0,80.0,
36.0,167.0,82.0,
37.0,162.0,76.0,
38.0,164.0,79.0,
39.0,159.0,86.0,
40.0,156.0,86.0,
41.0,159.0,78.0,
42.0,152.0,77.0,
43.0,148.0,77.0,
44.0,148.0,80.0,
45.0,156.0,76.0,
46.0,158.0,88.0,
47.0,156.0,87.0,
48.0,159.0,86.0,
49.0,168.0,80.0,
50.0,163.0,83.0,
51.0,171.0,81.0,
52.0,166.0,74.0,
53.0,159.0,79.0,
54.0,162.0,66.0,
55.0,158.0,70.0,
56.0,160.0,69.0,
57.0,161.0,73.0,
58.0,159.0,82.0,
59.0,157.0,83.0,
60.0,168.0,79.0,
61.0,177.0,65.0,
62.0,172.0,74.0,
63.0,163.0,75.0,
64.0,156.0,72.0,
65.0,153.0,69.0,
66.0,154.0,76.0,
67.0,151.0,76.0,
68.0,150.0,83.0,
69.0,144.0,79.0,
70.0,140.0,78.0,
71.0,141.0,87.0,
72.0,138.0,101.0,
73.0,140.0,95.0,
74.0,135.0,98.0,
75.0,147.0,76.0,
76.0,143.0,78.0,
