TIME,1. sick,2. healthy,
0.0,0.0,300.0,
1.0,0.0,300.0,
2.0,0.0,290.0,
3.0,0.0,291.0,
4.0,0.0,291.0,
5.0,0.0,291.0,
6.0,0.0,291.0,
7.0,62.0,229.0,
8.0,62.0,229.0,
9.0,62.0,229.0,
10.0,62.0,229.0,
11.0,62.0,229.0,
12.0,62.0,229.0,
13.0,62.0,229.0,
14.0,62.0,229.0,
15.0,79.0,204.0,
16.0,99.0,187.0,
17.0,112.0,178.0,
18.0,132.0,156.0,
19.0,142.0,147.0,
20.0,163.0,138.0,
21.0,179.0,126.0,
22.0,186.0,122.0,
23.0,188.0,110.0,
24.0,192.0,108.0,
25.0,187.0,106.0,
26.0,199.0,104.0,
27.0,200.0,103.0,
28.0,188.0,118.0,
29.0,199.0,106.0,
30.0,204.0,114.0,
31.0,216.0,110.0,
32.0,215.0,116.0,
33.0,202.0,126.0,
34.0,199.0,121.0,
35.0,209.0,111.0,
36.0,208.0,120.0,
37.0,212.0,114.0,
38.0,218.0,112.0,
39.0,229.0,117.0,
40.0,221.0,117.0,
41.0,206.0,119.0,
42.0,212.0,129.0,
43.0,210.0,125.0,
44.0,210.0,120.0,
45.0,213.0,109.0,
46.0,206.0,114.0,
47.0,203.0,114.0,
48.0,213.0,113.0,
49.0,222.0,112.0,
50.0,219.0,105.0,
51.0,223.0,114.0,
52.0,222.0,122.0,
53.0,223.0,134.0,
54.0,243.0,123.0,
55.0,248.0,111.0,
56.0,257.0,98.0,
57.0,253.0,103.0,
58.0,238.0,109.0,
59.0,239.0,113.0,
60.0,233.0,108.0,
61.0,243.0,101.0,
62.0,245.0,100.0,
63.0,245.0,118.0,
64.0,253.0,114.0,
65.0,251.0,116.0,
66.0,248.0,100.0,
67.0,247.0,101.0,
68.0,249.0,104.0,
69.0,252.0,115.0,
70.0,238.0,128.0,
71.0,241.0,127.0,
72.0,246.0,113.0,
73.0,235.0,101.0,
74.0,236.0,92.0,
75.0,224.0,101.0,
76.0,229.0,99.0,
77.0,234.0,107.0,
78.0,227.0,99.0,
79.0,217.0,105.0,
80.0,222.0,110.0,
81.0,213.0,106.0,
82.0,217.0,102.0,
83.0,209.0,100.0,
84.0,220.0,99.0,
85.0,216.0,95.0,
86.0,209.0,104.0,
87.0,213.0,117.0,
88.0,225.0,120.0,
89.0,208.0,133.0,
90.0,203.0,129.0,
91.0,212.0,117.0,
92.0,221.0,107.0,
93.0,228.0,101.0,
94.0,227.0,105.0,
95.0,225.0,93.0,
96.0,229.0,91.0,
97.0,226.0,103.0,
98.0,230.0,113.0,
99.0,215.0,103.0,
100.0,215.0,112.0,
101.0,205.0,118.0,
102.0,203.0,115.0,
103.0,198.0,119.0,
104.0,201.0,110.0,
105.0,192.0,113.0,
106.0,192.0,103.0,
107.0,187.0,124.0,
108.0,190.0,109.0,
109.0,190.0,117.0,
110.0,193.0,104.0,
111.0,202.0,91.0,
112.0,205.0,94.0,
113.0,191.0,100.0,
114.0,185.0,100.0,
115.0,192.0,99.0,
116.0,197.0,103.0,
117.0,212.0,90.0,
118.0,200.0,100.0,
119.0,198.0,121.0,
120.0,208.0,117.0,
121.0,201.0,112.0,
122.0,213.0,107.0,
123.0,220.0,115.0,
124.0,230.0,115.0,
125.0,232.0,106.0,
126.0,234.0,109.0,
127.0,246.0,100.0,
128.0,250.0,96.0,
129.0,239.0,105.0,
130.0,236.0,104.0,
131.0,226.0,105.0,
132.0,225.0,100.0,
133.0,240.0,94.0,
134.0,229.0,88.0,
135.0,221.0,101.0,
136.0,212.0,105.0,
137.0,212.0,112.0,
138.0,213.0,110.0,
139.0,208.0,113.0,
140.0,209.0,114.0,
141.0,214.0,118.0,
142.0,217.0,120.0,
143.0,225.0,117.0,
144.0,217.0,119.0,
145.0,215.0,116.0,
146.0,218.0,112.0,
147.0,218.0,109.0,
148.0,216.0,108.0,
149.0,207.0,121.0,
150.0,212.0,107.0,
151.0,214.0,108.0,
152.0,217.0,102.0,
153.0,210.0,97.0,
154.0,204.0,97.0,
155.0,202.0,92.0,
156.0,201.0,89.0,
157.0,206.0,101.0,
158.0,211.0,103.0,
159.0,213.0,97.0,
160.0,226.0,86.0,
161.0,228.0,89.0,
162.0,220.0,86.0,
163.0,211.0,83.0,
164.0,206.0,85.0,
165.0,200.0,98.0,
166.0,196.0,101.0,
167.0,197.0,103.0,
168.0,208.0,126.0,
169.0,223.0,119.0,
170.0,225.0,117.0,
171.0,234.0,100.0,
172.0,233.0,100.0,
173.0,237.0,107.0,
174.0,235.0,108.0,
175.0,235.0,103.0,
176.0,239.0,113.0,
177.0,252.0,113.0,
178.0,244.0,118.0,
179.0,249.0,120.0,
180.0,255.0,115.0,
181.0,246.0,115.0,
182.0,253.0,107.0,
183.0,239.0,105.0,
184.0,245.0,113.0,
185.0,254.0,117.0,
186.0,254.0,123.0,
187.0,261.0,120.0,
188.0,247.0,127.0,
189.0,250.0,115.0,
190.0,240.0,112.0,
191.0,242.0,128.0,
192.0,244.0,123.0,
193.0,251.0,118.0,
194.0,254.0,116.0,
195.0,245.0,114.0,
196.0,245.0,119.0,
197.0,223.0,129.0,
198.0,220.0,132.0,
199.0,230.0,121.0,
200.0,235.0,119.0,
201.0,230.0,119.0,
202.0,242.0,106.0,
203.0,228.0,103.0,
204.0,218.0,107.0,
205.0,214.0,104.0,
206.0,208.0,107.0,
207.0,214.0,109.0,
208.0,210.0,105.0,
209.0,215.0,102.0,
210.0,215.0,115.0,
211.0,212.0,110.0,
212.0,205.0,102.0,
213.0,201.0,105.0,
214.0,199.0,118.0,
215.0,206.0,102.0,
216.0,206.0,91.0,
217.0,200.0,83.0,
218.0,184.0,94.0,
219.0,184.0,89.0,
220.0,185.0,86.0,
221.0,178.0,87.0,
222.0,165.0,94.0,
223.0,164.0,90.0,
224.0,163.0,99.0,
225.0,162.0,97.0,
226.0,176.0,90.0,
227.0,180.0,98.0,
228.0,166.0,94.0,
229.0,160.0,106.0,
230.0,173.0,96.0,
231.0,170.0,96.0,
232.0,169.0,93.0,
233.0,178.0,91.0,
234.0,176.0,101.0,
235.0,180.0,92.0,
236.0,187.0,91.0,
237.0,179.0,100.0,
238.0,178.0,105.0,
239.0,173.0,98.0,
240.0,178.0,98.0,
241.0,178.0,94.0,
242.0,181.0,97.0,
243.0,180.0,94.0,
244.0,175.0,96.0,
245.0,179.0,92.0,
246.0,169.0,102.0,
247.0,165.0,105.0,
248.0,157.0,110.0,
249.0,153.0,103.0,
250.0,164.0,101.0,
251.0,172.0,99.0,
252.0,155.0,105.0,
253.0,145.0,115.0,
254.0,157.0,108.0,
255.0,162.0,103.0,
256.0,177.0,92.0,
257.0,171.0,91.0,
258.0,186.0,89.0,
259.0,196.0,103.0,
260.0,198.0,99.0,
261.0,192.0,99.0,
262.0,189.0,104.0,
263.0,188.0,114.0,
264.0,188.0,111.0,
265.0,196.0,121.0,
266.0,201.0,115.0,
267.0,204.0,103.0,
268.0,196.0,111.0,
269.0,193.0,112.0,
270.0,196.0,116.0,
271.0,213.0,113.0,
272.0,228.0,103.0,
273.0,214.0,120.0,
274.0,231.0,97.0,
275.0,223.0,105.0,
276.0,228.0,106.0,
277.0,228.0,112.0,
278.0,226.0,114.0,
279.0,230.0,111.0,
280.0,230.0,112.0,
281.0,232.0,106.0,
282.0,213.0,115.0,
283.0,217.0,109.0,
284.0,221.0,106.0,
285.0,208.0,116.0,
286.0,202.0,122.0,
287.0,216.0,93.0,
288.0,211.0,98.0,
289.0,203.0,95.0,
290.0,197.0,103.0,
291.0,188.0,109.0,
292.0,191.0,104.0,
293.0,186.0,106.0,
294.0,184.0,102.0,
295.0,184.0,91.0,
296.0,186.0,102.0,
297.0,195.0,102.0,
298.0,198.0,104.0,
299.0,203.0,95.0,
300.0,203.0,101.0,
301.0,191.0,108.0,
302.0,190.0,115.0,
303.0,187.0,127.0,
304.0,185.0,129.0,
305.0,191.0,128.0,
306.0,191.0,133.0,
307.0,206.0,130.0,
308.0,213.0,135.0,
309.0,212.0,136.0,
310.0,223.0,120.0,
311.0,227.0,126.0,
312.0,230.0,115.0,
313.0,225.0,134.0,
314.0,227.0,144.0,
315.0,245.0,134.0,
316.0,255.0,139.0,
317.0,245.0,130.0,
318.0,239.0,129.0,
319.0,236.0,149.0,
320.0,258.0,132.0,
321.0,263.0,134.0,
322.0,266.0,135.0,
323.0,254.0,137.0,
324.0,275.0,131.0,
325.0,279.0,140.0,
326.0,288.0,136.0,
327.0,291.0,129.0,
328.0,300.0,134.0,
329.0,318.0,118.0,
330.0,298.0,130.0,
331.0,302.0,135.0,
332.0,305.0,140.0,
333.0,304.0,138.0,
334.0,309.0,121.0,
335.0,313.0,139.0,
336.0,329.0,143.0,
337.0,311.0,141.0,
338.0,304.0,142.0,
339.0,304.0,149.0,
340.0,315.0,150.0,
341.0,334.0,159.0,
342.0,339.0,152.0,
343.0,330.0,149.0,
344.0,322.0,131.0,
345.0,318.0,137.0,
346.0,326.0,150.0,
347.0,326.0,140.0,
348.0,338.0,139.0,
349.0,335.0,135.0,
350.0,345.0,138.0,
351.0,324.0,141.0,
352.0,317.0,137.0,
353.0,328.0,145.0,
354.0,318.0,148.0,
355.0,318.0,126.0,
356.0,305.0,128.0,
357.0,317.0,121.0,
358.0,312.0,118.0,
359.0,294.0,126.0,
360.0,296.0,132.0,
361.0,294.0,139.0,
362.0,294.0,141.0,
363.0,300.0,129.0,
364.0,300.0,134.0,
365.0,317.0,128.0,
366.0,294.0,133.0,
367.0,292.0,127.0,
368.0,295.0,132.0,
369.0,295.0,129.0,
370.0,309.0,127.0,
371.0,303.0,116.0,
372.0,307.0,105.0,
373.0,303.0,119.0,
374.0,297.0,126.0,
375.0,313.0,113.0,
376.0,300.0,113.0,
377.0,304.0,125.0,
378.0,297.0,133.0,
379.0,295.0,142.0,
380.0,293.0,147.0,
381.0,290.0,141.0,
382.0,303.0,136.0,
383.0,309.0,137.0,
384.0,306.0,118.0,
385.0,309.0,112.0,
386.0,311.0,122.0,
387.0,301.0,129.0,
388.0,302.0,121.0,
389.0,298.0,122.0,
390.0,293.0,129.0,
391.0,297.0,125.0,
392.0,297.0,108.0,
393.0,295.0,114.0,
394.0,275.0,127.0,
395.0,279.0,115.0,
396.0,280.0,98.0,
397.0,273.0,111.0,
398.0,264.0,106.0,
399.0,270.0,103.0,
400.0,276.0,96.0,
401.0,273.0,100.0,
402.0,280.0,107.0,
403.0,263.0,133.0,
404.0,278.0,109.0,
405.0,272.0,109.0,
406.0,265.0,124.0,
407.0,270.0,138.0,
408.0,263.0,139.0,
409.0,277.0,129.0,
410.0,282.0,129.0,
411.0,289.0,135.0,
412.0,284.0,140.0,
413.0,281.0,146.0,
414.0,279.0,149.0,
415.0,278.0,146.0,
416.0,285.0,130.0,
417.0,285.0,143.0,
418.0,281.0,119.0,
419.0,280.0,140.0,
420.0,284.0,141.0,
421.0,287.0,141.0,
422.0,286.0,144.0,
423.0,280.0,149.0,
